Info: Reading netlist file "/home/laudas/eagle/eagle-lbr2kicad/examples/PIXHAWK/kicad_files/PX4FMUv2.4.net".

Info: Using references to match components and footprints.

* Warning: component 'VP_38': board footprint 'VPAC2', netlist footprint 'VPAD_VPAC2'
* Warning: component 'C506': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'C1001': board footprint '0805-CAP', netlist footprint 'PIXHAWK2_0805-CAP'

* Warning: component 'R621': board footprint '0603-RES', netlist footprint 'PIXHAWK2_0603-RES'

* Warning: component 'LED702': board footprint '0603-LED', netlist footprint 'PIXHAWK2_0603-LED'

* Warning: component 'LED705': board footprint '0603-LED', netlist footprint 'PIXHAWK2_0603-LED'

* Warning: component 'LED704': board footprint '0603-LED', netlist footprint 'PIXHAWK2_0603-LED'

* Warning: component 'LED703': board footprint '0603-LED', netlist footprint 'PIXHAWK2_0603-LED'

* Warning: component 'LED701': board footprint '0603-LED', netlist footprint 'PIXHAWK2_0603-LED'

* Warning: component 'C515': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'C512': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'C702': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'C513': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'C613': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'C603': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'C611': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'C1003': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'C1004': board footprint '0603-CAP', netlist footprint 'PIXHAWK2_0603-CAP'

* Warning: component 'D201': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D203': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D903': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D404': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D902': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D901': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D202': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D701': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D403': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D402': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D401': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'D801': board footprint '0402-TVS', netlist footprint 'PIXHAWK2_0402-TVS'

* Warning: component 'R1111': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R922': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1115': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1114': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1113': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1112': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R802': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1001': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1002': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1101': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1110': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1109': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1107': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1106': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1105': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1104': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1103': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R1102': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R609': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R402': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R403': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R404': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R405': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R406': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R407': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R408': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R409': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R602': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R603': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R604': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R608': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R401': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R610': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R611': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R615': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R616': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R617': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R620': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R635': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R3': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R4': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R701': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R702': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R703': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R211': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R101': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R102': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R201': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R202': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R203': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R204': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R205': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R206': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R207': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R208': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R209': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

* Warning: component 'R210': board footprint '0402-RES', netlist footprint 'PIXHAWK2_0402-RES'

